L (Lux);T (°);CO2;H (%)
4139.17;29.9;164;68.4
4550;29.3;162;68.5
5057.5;28.9;163;70.1
5647.5;28.6;162;70.5
6408.33;28.5;162;72.7
6605.83;28.4;162;70.7
7458.33;28.3;154;72.4
8010;28.4;161;73.1
6778.33;28.5;158;70.5
8010;28.4;161;73.1
2976.67;24.1;73;59
3395;24.1;70;57.3
5829.17;25.3;69;53.2
8183.33;26;69;53.6
7967.5;26.7;70;52.1
5637.5;26.4;70;55.6
6233.33;25.9;70;56.5
6809.17;22.4;178;92
7070;22.6;178;91.5
7559.17;22.7;169;90.8
7733.33;22.8;175;91.2
8850;23.1;174;91.6
9061.67;23.3;173;91
9445;23.6;174;91.3
8458.33;23.9;171;90.7
7786.67;24;173;90.2
6895;24;172;90
6405;23.9;171;89.5
7531.67;23.9;171;89.9
7505.83;23.9;171;88.9
6806.67;23.4;190;80.6
3610;22.7;183;82.7
2835;22.3;182;82.9
2797.5;22;176;84.3
2495;21.6;173;85.6
2755;21.5;173;87.3
3422.5;21.3;162;88.6
2766.67;21.3;170;88.3
3022.5;21.3;168;88.7
2285.83;21.2;168;88
2425;21.1;168;89.4
3104.17;21;158;90
3554.17;21.1;168;90.6
4181.67;21.3;158;89
5141.67;21.1;163;89.5
5918.33;21.2;163;89.3
4555;21.3;157;89.8
6480.83;21.4;162;89.8
6013.33;21.4;159;87.2
2853.33;21.3;158;85.3
2811.67;21.3;156;85.4
2160.83;21.1;154;84.9
1880;20.9;154;85.9
1760;20.9;154;87.3
2052.5;20.7;156;86.8
2418.33;20.8;154;87.7
3710.83;20.8;152;87.1
2827.5;20.7;154;87.1
3030;20.8;154;85.8
3824.17;20.9;153;86.1
2950;21;154;85.9
1140;21;154;84.8
280.83;21;153;86.7
260.83;20.8;151;84.3
215;20.6;148;86.3
215.83;20.4;151;87.8
171.67;20.5;147;90.2
